id,status,series,laureate_en,laureate_zh,category,prize_year,affiliation,country,date,host_key,title_en,title_zh,hook_zh,hook_en,summary_zh,summary_en,topic_tags,yt_lecture,yt_lecture_ntu,yt_guide,extra_sessions,interviews,nobel_facts,instagram,ntu_epaper,ntu_spotlight
strickland,published,TAIWAN BRIDGES,Prof. Donna Strickland,唐娜‧史崔克蘭,physics,2018,University of Waterloo,Canada,2026-01-12,NTU,Why trust in science is important,為什麼信任科學很重要,當科學改了答案，你就不再相信它了嗎？,When science updates its answer — do you stop trusting it?,GPS（全球定位系統）、網路、你手上的筆電，都來自需要很多年才做對的科學。疫情期間，科學第一次在所有人面前即時修正自己，有人把那叫做失敗。史崔克蘭說，那不是失敗，那正是科學在公開場合學習的樣子。,"GPS, the internet, the laptop in front of you — all came from science that took years to get right. During the pandemic, science revised itself in public for the first time, and some people called that failure. Donna Strickland's answer: it wasn't. That is what science learning in real time looks like.",physics-applied | ethics-responsibility | method-discovery,C7PAOAEOczU,51o9waNOWD8,5e6-gtnHV0M,,cw::yzuzWHUBRF4 | storm::mfKzYae44F0,https://www.nobelprize.org/prizes/physics/2018/strickland/facts/,https://www.instagram.com/reel/DTzWJUciXtk/,https://sec.ntu.edu.tw/epaper/article.asp?num=1674&sn=39685,https://www.ntu.edu.tw/spotlight/2026/2448_20260116.html
stiglitz,published,TAIWAN BRIDGES,Prof. Joseph E. Stiglitz,約瑟夫‧史迪格里茲,economics,2001,Columbia University,USA,2026-01-13,YKH,The road to freedom: economics and the good society,通往自由之路：經濟學與美好社會,市場愈自由，人就愈自由嗎？,Does a freer market make a freer person?,史迪格里茲長期研究一件事：當買賣雙方掌握的資訊不一樣（information asymmetry），市場會出什麼問題。他在這堂課處理一個更大的題目——「自由」到底是誰的自由，以及一個社會要怎麼安排規則，才能讓自由不只屬於最有力量的人。,"Joseph Stiglitz built his career on what goes wrong in markets when one side knows more than the other. Here he takes on something larger: whose freedom we actually mean when we say the word, and how a society can arrange its rules so that freedom is not reserved for the most powerful.",economics | ethics-responsibility | peace-society,WlxbaXqWXAs,,,,,https://www.nobelprize.org/prizes/economic-sciences/2001/stiglitz/facts/,,,
haroche,published,TAIWAN BRIDGES,Prof. Serge Haroche,塞爾日‧阿羅什,physics,2012,Collège de France,France,2026-01-16,AS,"New developments and applications in laser science and quantum optics, electronics and computing",雷射科學與量子光學、電子學及運算的新發展與應用,他學會了看一顆光子，而不把它弄壞。,He learned to look at a single photon without destroying it.,要測量一個量子系統，通常就會毀掉它。阿羅什設計出方法，能反覆觀察被困住的單顆光子（photon）而不將它摧毀，讓量子世界的怪異行為第一次被直接看見。這堂課從那裡出發，談雷射（laser）、量子光學（quantum optics）與量子運算（quantum computing）正在往哪裡去。,"Measuring a quantum system usually destroys it. Serge Haroche devised a way to watch a single trapped photon over and over without wrecking it, making the strangeness of the quantum world directly visible for the first time. From there, the lecture looks at where lasers, quantum optics and quantum computing are heading.",physics-fundamental | ai-computation | method-discovery,JrkyzmChFjI,,,,storm::pJoT3EBR1us,https://www.nobelprize.org/prizes/physics/2012/haroche/facts/,,,
schmidt,published,TAIWAN BRIDGES,Prof. Brian P. Schmidt,布萊恩‧施密特,physics,2011,Australian National University,Australia,2026-01-19,NCHU,Science: Humanity's universal bridge,科學：人類共通的橋樑,宇宙不只在膨脹，而且愈脹愈快——沒有人預料到。,The universe isn't just expanding. It's speeding up.,施密特的團隊測量遙遠的超新星（supernova），本來想知道宇宙膨脹減慢了多少，結果發現它反而在加速。這個沒人預期的答案，打開了暗能量（dark energy）的問題。他以此為例，談科學作為一種全人類共用的方法，能跨過多少界線。,"Brian Schmidt's team measured distant supernovae expecting to find how much the universe's expansion had slowed — and found it speeding up instead. That unwanted answer opened the question of dark energy. He uses it to talk about science as a method the whole of humanity shares, and how many borders it can cross.",physics-fundamental | method-discovery | peace-society,il_Wkv2Maaw,,,,,https://www.nobelprize.org/prizes/physics/2011/schmidt/facts/,,,
mayor,published,TAIWAN BRIDGES,Prof. Michel Mayor,米歇爾‧麥耶,physics,2019,University of Geneva,Switzerland,2026-01-22,AS,Is there a Planet B – Will humanity emigrate to an exoplanet?,有沒有 B 行星？——人類會移民到系外行星嗎？,如果地球壞了，我們真的能搬去別的星球嗎？,"If Earth breaks, can we really move somewhere else?",麥耶找到了第一顆繞著類太陽恆星的系外行星（exoplanet），從此我們知道銀河系裡有無數個世界。也正因為他最清楚那些世界有多遠、多不適合居住，他在這堂課給出一個冷靜的答案：沒有 B 行星，地球是我們唯一的家。,"Michel Mayor found the first planet orbiting another Sun-like star, and with it the knowledge that the galaxy holds countless worlds. Precisely because he knows how far away and how hostile those worlds are, his answer here is a sober one: there is no Planet B. Earth is the only home we have.",physics-fundamental | climate-energy | ethics-responsibility,tj8OSXJRV0A,,,,storm::TewD-AbmUQw,https://www.nobelprize.org/prizes/physics/2019/mayor/facts/,,,
meldal,published,TAIWAN BRIDGES,Prof. Morten P. Meldal,莫頓‧梅爾達爾,chemistry,2022,University of Copenhagen,Denmark,2026-01-26,NTU,Chemistry for a sustainable world – Everything is chemistry and how that influences our choices,為永續世界而生的化學——萬物皆化學，以及它如何影響我們的選擇,如果化學可以更乾淨，地球會不會也更好？,What if better chemistry meant a better planet?,梅爾達爾是「點擊化學」（click chemistry）的奠基者之一：讓分子像扣子一樣快速、乾淨地扣在一起，減少廢棄物、耗能與副反應。這代表更好的製藥方式、更好的新材料，以及真正精準地造出想要的分子。他留下的挑戰很簡單——不是做更多，而是做得更好。,"Morten Meldal is one of the fathers of click chemistry: letting molecules snap together fast and cleanly, with less waste, less energy and fewer side reactions. That means better ways to make drugs, better materials, and real precision in building the molecule you actually want. His challenge is simple — not to make more, but to make better.",chemistry-molecular | climate-energy | method-discovery,lTZP1kxTwSM,XhOCuaxqSHY,UNt_MdCz5T0,,storm::T3nEqnPrXEM,https://www.nobelprize.org/prizes/chemistry/2022/meldal/facts/,https://www.instagram.com/reel/DUE8cF7gnG7/,https://sec.ntu.edu.tw/epaper/article.asp?num=1674&sn=39684,https://www.ntu.edu.tw/spotlight/2026/2451_20260128.html
engle,published,TAIWAN BRIDGES,Prof. Robert F. Engle III,羅伯特‧恩格爾,economics,2003,New York University,USA,2026-02-02,THU,A financial approach to climate risk,以金融方法看氣候風險,氣候變遷，可能已經在你的退休金裡了。,Climate change may already be inside your pension fund.,恩格爾發明了衡量金融市場「波動會群聚」（volatility clustering）的方法，成為風險管理的基礎工具。他把同一套思路轉向氣候：如果乾旱、洪水與政策轉向都會衝擊資產價格，那麼氣候風險就是財務風險，而且是現在就該定價的風險。,"Robert Engle invented the method for measuring how financial volatility clusters, now a basic tool of risk management. He turns the same thinking on the climate: if droughts, floods and policy shifts move asset prices, then climate risk is financial risk — and it is a risk to be priced now, not later.",economics | climate-energy,EJVC6_gZc5o,,,_sgZRKOUygM::Alternate upload,storm::UJDJJV67shY,https://www.nobelprize.org/prizes/economic-sciences/2003/engle/facts/,,,
roberts,published,TAIWAN BRIDGES,Dr. Sir Richard J. Roberts,理查‧羅伯茨,medicine,1993,New England Biolabs,USA,2026-02-05,AS,Why you should love GMOs,你為什麼應該喜歡基因改造食品,一位諾貝爾獎得主，替基改作物辯護。,A Nobel laureate makes the case for GMOs.,羅伯茨發現基因並不是一段連續的文字，中間夾著必須被剪掉的片段（introns，內含子）——這個發現改寫了我們對基因如何運作的理解。在這堂課，他直接處理一個爭議話題：他認為對基改作物的恐懼，正在讓最需要糧食的人付出代價。,"Richard Roberts discovered that a gene is not one continuous piece of text but is interrupted by stretches that have to be cut out — a finding that rewrote how we understand genes. Here he takes on a genuinely contested subject, arguing that fear of genetically modified crops is costing the people who need food most.",life-science | ethics-responsibility | climate-energy,VmpL2HPJ_g8,,,,cw::yAL6mkgehbg | storm::GoVWwoxZZ2A,https://www.nobelprize.org/prizes/medicine/1993/roberts/facts/,,,
mbmoser,published,TAIWAN BRIDGES,Prof. May-Britt Moser,梅‧布麗特‧莫澤,medicine,2014,Norwegian University of Science and Technology,Norway,2026-02-09,NTU,The brain's systems for navigation and memory and their relevance for Alzheimer's disease,大腦的導航與記憶系統，及其與阿茲海默症的關聯,你的大腦裡，有一套自己的 GPS。,Your brain has its own GPS.,在大腦的內嗅皮質（entorhinal cortex）裡，有一群神經細胞會以規律的網格形式放電，幫你知道自己在哪裡、要往哪裡去，也把空間和記憶連在一起。莫瑟指出，這套系統在阿茲海默症的早期就會受損——所以失去的不只是方向感，還有你記得的那個世界。,"Deep in the brain's entorhinal cortex, certain neurons fire in a regular grid, helping you know where you are and where you are going, and tying space to memory. May-Britt Moser shows that this system is damaged early in Alzheimer's disease — so what starts to go is not only your sense of direction, but the world you remember.",life-science | medicine-clinical,JnBkvRgjA9I,cRu-6W0kQKs,vK_aNwIlqRs,,,https://www.nobelprize.org/prizes/medicine/2014/may-britt-moser/facts/,https://www.instagram.com/reel/DVNnv4ogaXh/,https://sec.ntu.edu.tw/epaper/article.asp?num=1675&sn=39698,https://www.ntu.edu.tw/spotlight/2026/2452_20260211.html
nurse,published,TAIWAN BRIDGES,Dr. Sir Paul Nurse,保羅‧納斯,medicine,2001,Francis Crick Institute,UK,2026-02-11,AS,What is life?,生命是什麼？,一個看似幼稚、其實沒人答得完整的問題。,"A question that sounds childish, and nobody has fully answered.",納斯找到了控制細胞週期（cell cycle）何時推進的關鍵開關——這套機制從酵母菌到人類幾乎完全相同，也正是癌症研究的核心。他用一生累積的答案，回到那個最原始的問題：到底什麼才算活著？,"Paul Nurse found the master switch that controls when a cell divides — a mechanism almost identical from yeast to humans, and central to cancer research. With a career's worth of answers behind him, he returns to the most basic question of all: what does it actually mean to be alive?",life-science | method-discovery,TN0GNDKL6mY,,,,cw::9IyVEq0LHBM | storm::2AQFCYlhqFY,https://www.nobelprize.org/prizes/medicine/2001/nurse/facts/,,,
winter,published,TAIWAN BRIDGES,Prof. Sir Gregory P. Winter,格雷戈里‧溫特,chemistry,2018,MRC Laboratory of Molecular Biology,UK,2026-03-02,AS,The antibody revolution,抗體革命,讓身體自己的武器，變成處方藥。,Turning the body's own weapon into a prescription.,溫特找到辦法，讓實驗室能像演化一樣（phage display，噬菌體展示），一輪一輪篩選出愈來愈精準的抗體。今天許多治療癌症與自體免疫疾病（autoimmune diseases）的藥物，都是這樣造出來的。這堂課講的就是這場從免疫學走進藥局的革命。,"Gregory Winter found a way to let a laboratory run evolution itself, selecting round after round for ever more precise antibodies. Many of today's cancer and autoimmune drugs are made exactly this way. This lecture is that revolution — from immunology to the pharmacy shelf.",chemistry-molecular | medicine-clinical | method-discovery,KTHc6qF3mo0,,,,storm::FpUEzPKrlBY,https://www.nobelprize.org/prizes/chemistry/2018/winter/facts/,,,
mcdonald,published,TAIWAN BRIDGES,Prof. Arthur B. McDonald,阿瑟‧麥克唐納,physics,2015,Sudbury Neutrino Observatory,Canada,2026-03-09,TKU,Answering existential questions about our universe and its evolution,回答關於宇宙及其演化的根本問題,兩公里深的地底礦坑，是為了看見太陽。,Two kilometres underground — to see the Sun.,太陽送來的微中子（neutrino），我們只數到預期的三分之一，這個謎題困擾了物理學家三十年。麥克唐納在地底深處的實驗證明：它們沒有消失，只是變身了——而這代表微中子有質量，粒子物理的標準模型（Standard Model）並不完整。,"We were counting only a third of the neutrinos the Sun should send us, a puzzle that troubled physicists for thirty years. Arthur McDonald's experiment, deep underground, showed they had not vanished but changed identity — which means neutrinos have mass, and the Standard Model of particle physics is incomplete.",physics-fundamental | method-discovery,io3z9LwxM34,,,,,https://www.nobelprize.org/prizes/physics/2015/mcdonald/facts/,,,
noyori,published,TAIWAN BRIDGES,Prof. Ryoji Noyori,野依良治,chemistry,2001,Nagoya University,Japan,2026-03-20,TKU,Chemistry is the science of value creation,化學是創造價值的科學,同一個分子的左手與右手，一個治病，一個致命。,"Left hand or right hand: one molecule heals, its mirror kills.",很多分子有兩種互為鏡像的形式，就像左手與右手——在人體內，往往只有一種有用，另一種可能有害。野依良治開發出不對稱催化（asymmetric catalysis）的方法，能選擇性地只造出想要的那一隻手。他認為化學的價值，就在於此。,"Many molecules come in two mirror-image forms, like a left and a right hand — and inside the body often only one is useful, while the other can do harm. Ryoji Noyori developed catalysts that build only the hand you want. That, he argues, is where chemistry creates its value.",chemistry-molecular | method-discovery,zAM1_fhu6kY,,,,,https://www.nobelprize.org/prizes/chemistry/2001/noyori/facts/,,,
emoser,published,TAIWAN BRIDGES,Prof. Edvard I. Moser,愛德華‧莫澤,medicine,2014,Norwegian University of Science and Technology,Norway,2026-03-27,AS,The brain's GPS: How we know where we are,大腦的 GPS：我們如何知道自己在哪裡,你怎麼知道，你現在正站在哪裡？,How do you know where you're standing right now?,莫瑟與研究團隊發現了「網格細胞」（grid cells）：它們在大腦裡鋪出一張規律的座標網，讓你在移動時始終知道自己的位置。這是大腦替空間建立地圖的方式，也是記憶得以附著其上的骨架。,Edvard Moser and his colleagues discovered grid cells: neurons that lay down a regular coordinate mesh inside the brain so that you always know where you are as you move. It is how the brain maps space — and the scaffold that memory hangs on.,life-science | method-discovery,QOvGspShTQU,,,,storm::mD7Hz7KVIVM,https://www.nobelprize.org/prizes/medicine/2014/edvard-moser/facts/,,,
rice,published,TAIWAN BRIDGES,Prof. Charles M. Rice,查爾斯‧萊斯,medicine,2020,Rockefeller University,USA,2026-03-30,TCU,Global infectious disease: triumphs and challenges,全球傳染病：勝利與挑戰,一種曾經無藥可醫的病毒，現在幾週就能治好。,A virus with no cure — now treatable in a few weeks.,C 型肝炎（hepatitis C）曾經在全球感染數千萬人，最後導致肝硬化（cirrhosis）與肝癌。萊斯的研究讓這個病毒第一次能在實驗室裡被完整培養，直接打開了治癒藥物的大門。他以這個成功為起點，談人類面對下一場傳染病時還缺什麼。,"Hepatitis C infected tens of millions worldwide and ended in cirrhosis and liver cancer. Charles Rice's work made it possible to grow the virus in the laboratory for the first time, which opened the door directly onto a cure. He takes that success as a starting point for what humanity still lacks facing the next outbreak.",life-science | medicine-clinical,NJXpq2nSyTY,,,,cw::QwE4TN8Hmlo,https://www.nobelprize.org/prizes/medicine/2020/rice/facts/,,,
wuthrich,published,TAIWAN BRIDGES,Prof. Kurt Wüthrich,庫爾特‧維特里希,chemistry,2002,ETH Zürich,Switzerland,2026-04-07,AS,"The molecules of life, AI and human health",生命的分子、AI 與人類健康,看不見的分子，要怎麼知道它長什麼樣子？,How do you see the shape of something you can never see?,"蛋白質的形狀決定它的功能，但它太小，看不見。維特里希開發出用核磁共振（nuclear magnetic resonance, NMR）在溶液中解出蛋白質三維結構的方法——也就是在接近生命實際狀態的環境下觀察它。這堂課談這條路如何一路走到今天的 AI 結構預測（protein structure prediction）。","A protein's shape decides what it does, but it is far too small to see. Kurt Wüthrich developed a way to work out a protein's three-dimensional structure in solution using nuclear magnetic resonance — that is, close to the state life actually keeps it in. The lecture follows that road all the way to today's AI structure prediction.",chemistry-molecular | ai-computation | method-discovery,xVOW7dzgRyM,,,,storm::LpPpUHwFdaw,https://www.nobelprize.org/prizes/chemistry/2002/wuthrich/facts/,,,
semenza,published,TAIWAN BRIDGES,Prof. Gregg L. Semenza,格雷格‧塞門薩,medicine,2019,Johns Hopkins University,USA,2026-04-14,NCKU,"Oxygen, carbon dioxide and sustainable life on Earth",氧氣、二氧化碳，與地球上的永續生命,你的身體每一刻都在數氧氣，而它知道該怎麼辦。,Your body counts its oxygen every moment — and knows what to do.,塞門薩找到了細胞感測氧氣濃度的分子開關（HIF，缺氧誘導因子）：缺氧時，它會啟動一整套反應，例如長出新血管。這套機制關係到貧血、心血管疾病，也被腫瘤拿來為自己開路。他從這裡談起氧氣、二氧化碳與地球生命的長期平衡。,"Gregg Semenza found the molecular switch by which a cell senses how much oxygen it has: when oxygen runs short, it triggers a whole programme of responses, such as growing new blood vessels. The same system underlies anaemia and heart disease — and tumours hijack it to feed themselves. From there he turns to oxygen, carbon dioxide and the long-term balance of life on Earth.",life-science | medicine-clinical | climate-energy,ZEFnMve_8ig,,,,,https://www.nobelprize.org/prizes/medicine/2019/semenza/facts/,,,
roth,published,TAIWAN BRIDGES,Prof. Alvin E. Roth,艾爾文‧羅斯,economics,2012,Stanford University,USA,2026-04-20,NTHU,"Markets, market design and medicine",市場、市場設計與醫療,有些東西不能買賣，但還是需要被好好分配。,Some things can't be bought — but still must be allocated well.,腎臟不能買賣，學校名額也不該標價，但這些配對還是得做，而且做得好不好會決定有沒有人活下來。羅斯把經濟學變成一種設計工作（market design，市場設計）：重新設計規則本身，讓捐贈者與病患能配對成功。這套方法已經真的在救人。,"You cannot buy a kidney, and school places should not go to the highest bidder — but these matches still have to be made, and how well they are made decides whether people live. Alvin Roth turned economics into a design discipline: redesigning the rules themselves so that donors and patients can be matched. It is already saving lives.",economics | medicine-clinical | ethics-responsibility,f1ib7S3mJpE,,,,cw::lhgrxypspsU | storm::6E5szZDmbI4,https://www.nobelprize.org/prizes/economic-sciences/2012/roth/facts/,,,
kobilka,published,TAIWAN BRIDGES,Prof. Brian K. Kobilka,布萊恩‧科比爾卡,chemistry,2012,Stanford University,USA,2026-04-21,NTHU,The new era in drug development,藥物開發的新時代,你吃的藥，有三分之一都打在同一種標靶上。,A third of all medicines aim at the same kind of target.,"細胞表面有一群受體（G 蛋白偶合受體，G protein-coupled receptors, GPCR），負責把外界的訊號傳進細胞裡；市面上大約三分之一的藥物都作用在它們身上。科比爾卡拍下了這些受體在傳遞訊號那一瞬間的立體結構，讓藥物設計從碰運氣，變成看著標靶下手。","A family of receptors sits on the cell surface, carrying signals from the outside world in — and roughly a third of all drugs on the market act on them. Brian Kobilka captured the three-dimensional structure of these receptors at the instant they pass a signal, turning drug design from guesswork into aiming at a target you can see.",chemistry-molecular | medicine-clinical | method-discovery,DEURLJp2AUI,,,,,https://www.nobelprize.org/prizes/chemistry/2012/kobilka/facts/,,,
